CODE REFERENCE PHOTO,PHOTO,VILLE,CODE POSTAL,ADRESSE ,COORDONNEES GPS DU PANNEAU Y ,COORDONNEES GPS DU PANNEAU X,ANGLE DE VISIBILITE,VISIBLE EN VENANT DE,VISIBLE EN ALLANT A ,VISIBILITE,DISPONIBILITE,FORMAT,SURFACE,TYPE,SUPPORT,LARGEUR EN CM,HAUTEUR EN CM,DATE DE SIGNATURE DU BON DE COMMANDE CLIENT  ,DATE DE FIN DENGAGEMENT  DU BON DE COMMANDE  ,ANNONCEUR
CATRY BAYART 20250303_141629,#VALEUR !,ST LAURENT BLANGY,62223,BRETELLE DE SORTIE RD950 VENANT DE ARRAS,"50,30714","2,80194",0°,RD950 ARRAS,ST LAURENT CENTRE,DE FACE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,22/11/2016,31/12/2024,A2000
CATRY BAYART 20250303_141629,#VALEUR !,ST LAURENT BLANGY,62223,BRETELLE DE SORTIE RD950 VENANT DE ARRAS,"50,30714","2,80194",0°,RD950 ARRAS,ST LAURENT CENTRE,DE FACE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,17/03/2025,16/03/2026,CATRY BAYART
CATRY BAYART 20250303_141629,#VALEUR !,ST LAURENT BLANGY,62223,BRETELLE DE SORTIE RD950 VENANT DE ARRAS,"50,30714","2,80194",0°,RD950 ARRAS,ST LAURENT CENTRE,DE FACE,D,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,,,DISPONIBLE
CATRY BAYART 20250303_141629,#VALEUR !,ST LAURENT BLANGY,62223,BRETELLE DE SORTIE RD950 VENANT DE ARRAS,"50,30714","2,80194",0°,RD950 ARRAS,ST LAURENT CENTRE,DE FACE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,22/11/2016,08/12/2025,CARROSSERIE MANTEL
CATRY BAYART 20250303_141629,#VALEUR !,ST LAURENT BLANGY,62223,BRETELLE DE SORTIE RD950 VENANT DE ARRAS,"50,30714","2,80194",0°,RD950 ARRAS,ST LAURENT CENTRE,DE FACE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,04/02/2020,13-févr.,CGED
CATRY BAYART 20250303_141629,#VALEUR !,ST LAURENT BLANGY,62223,BRETELLE DE SORTIE RD950 VENANT DE ARRAS,"50,30714","2,80194",0°,RD950 ARRAS,ST LAURENT CENTRE,DE FACE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,04/02/2020,13-févr.,CGED
CATRY BAYART 20250303_141629,#VALEUR !,ST LAURENT BLANGY,62223,BRETELLE DE SORTIE RD950 VENANT DE ARRAS,"50,30714","2,80194",0°,RD950 ARRAS,ST LAURENT CENTRE,DE FACE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,,,DILIGENCIA
CATRY BAYART 20250303_141629,#VALEUR !,ST LAURENT BLANGY,62223,BRETELLE DE SORTIE RD950 VENANT DE ARRAS,"50,30714","2,80194",0°,RD950 ARRAS,ST LAURENT CENTRE,DE FACE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,,,DILIGENCIA
CATRY BAYART 20250303_141629,#VALEUR !,ST LAURENT BLANGY,62223,BRETELLE DE SORTIE RD950 VENANT DE ARRAS,"50,30714","2,80194",0°,RD950 ARRAS,ST LAURENT CENTRE,DE FACE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,21/11/2023,31/12/2026,LECLERC ARRADIS
CATRY BAYART 20250303_141629,#VALEUR !,ST LAURENT BLANGY,62223,BRETELLE DE SORTIE RD950 VENANT DE ARRAS,"50,30714","2,80194",0°,RD950 ARRAS,ST LAURENT CENTRE,DE FACE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,21/11/2023,31/12/2026,LECLERC ARRADIS
CATRY BAYART 20250303_141629,#VALEUR !,ST LAURENT BLANGY,62223,BRETELLE DE SORTIE RD950 VENANT DE ARRAS,"50,30714","2,80194",0°,RD950 ARRAS,ST LAURENT CENTRE,DE FACE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,22/03/2017,24/04/2025,SIO
CATRY BAYART 20250303_141629,#VALEUR !,ST LAURENT BLANGY ,62223,BRETELLE DE SORTIE RD950 VENANT DE ARRAS,"50,30714","2,80194",0°,RD950 ARRAS,ST LAURENT CENTRE,DE FACE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,29/07/2019,31/08/2025,SPIE
CATRY BAYART 20250303_141629,#VALEUR !,ST LAURENT BLANGY ,62223,BRETELLE DE SORTIE RD950 VENANT DE ARRAS,"50,30714","2,80194",0°,RD950 ARRAS,ST LAURENT CENTRE,DE FACE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,,,WOITRAIN
CATRY BAYART 20250303_141629,#VALEUR !,ST LAURENT BLANGY,62223,BRETELLE DE SORTIE RD950 VENANT DE ARRAS,"50,30714","2,80194",0°,RD950 ARRAS,ST LAURENT CENTRE,DE FACE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,"11,01,2023",18/01/2026,ATELIER CENTRE AUTO
SPIE2,#VALEUR !,ST LAURENT BLANGY,62223,BRETELLE DE SORTIE RD950 VENANT DE LILLE,"50,30918","2,80207",0°,RD950 LILLE,ST LAURENT CENTRE,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,22/03/2017,24/04/2025,SIO
SPIE2,#VALEUR !,ST LAURENT BLANGY ,62223,BRETELLE DE SORTIE RD950 VENANT DE LILLE,"50,30918","2,80207",90°,RD950 LILLE,ST LAURENT CENTRE,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,29/07/2019,31/08/2025,SPIE
SPIE2,#VALEUR !,ST LAURENT BLANGY,62223,BRETELLE DE SORTIE RD950 VENANT DE LILLE,"50,30918","2,80207",90°,RD950 LILLE,ST LAURENT CENTRE,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,"11,01,2023",18/01/2026,ATELIER CENTRE AUTO
399,,ST LAURENT BLANGY,62223,RUE LAURENT GERS ,"50,29702","2,80326",90°,ST LAURENT ARTOIS EXPO,ST LAURENT CENTRE,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,21/11/2023,31/12/2026,LECLERC ARRADIS
8,#VALEUR !,ST LAURENT BLANGY,62223, ROND POINT LOCOMOTIVE COTE ALDI ,"50,2924","2,79375",90°,ZI EST,ST LAURENT LOCOMOTIVE,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,22/11/2016,08/12/2025,CARROSSERIE MANTEL
382,,ST LAURENT BLANGY,62223,AVENUE DES DROITS DE L'HOMME  ,"50,29449","2,78995",90°,ARRAS MONNET,ST LAURENT LOCOMOTIVE,DROITE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,28/03/2018,11/04/2025,MARKET ARRAS
375,,ST LAURENT BLANGY,62223,CD 60 (VENANT ZI EST / PROCHE ALDIMARCHE ) ,"50,29254","2,7939",90°,ZI EST,ST LAURENT LOCOMOTIVE,GAUCHE,D,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,,,DISPONIBLE
376,,ST LAURENT BLANGY,62223,CD 60 (VENANT ZI EST / PROCHE ALDIMARCHE ) ,"50,29254","2,7939",90°,ZI EST,ST LAURENT LOCOMOTIVE,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,27/01/2017,14/02/2025,COPIN DESIGN
377,,ST LAURENT BLANGY,62223,CD 60 (VENANT ZI EST / PROCHE ALDIMARCHE ) ,"50,29254","2,7939",90°,ZI EST,ST LAURENT LOCOMOTIVE,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,21/11/2023,31/12/2026,LECLERC ARRADIS
378,,ST LAURENT BLANGY,62223,CD 60 (VENANT ZI EST / PROCHE ALDIMARCHE ) ,"50,29254","2,7939",90°,ZI EST,ST LAURENT LOCOMOTIVE,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,28/03/2018,11/04/2025,MARKET ARRAS
,,ST LAURENT BLANGY,62223,CD 60 (VENANT ZI EST / PROCHE ALDIMARCHE ) ,"50,29254","2,7939",90°,ZI EST,ST LAURENT LOCOMOTIVE,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,,,LE GARAGE DES CAILLOUX
381,,ST LAURENT BLANGY,62223,RUE DE DOUAI (DE LA GARE) ,"50,29054","2,78904",90°,ARRAS GARE,ST LAURENT LOCOMOTIVE,DROITE,D,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,,,DISPONIBLE
380,,ST LAURENT BLANGY,62223,RUE DE DOUAI (DE LA GARE) ,"50,29054","2,78904",90°,ARRAS GARE,ST LAURENT LOCOMOTIVE,DROITE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,28/03/2018,11/04/2025,MARKET ARRAS
